"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PG","Phil Pressey",3000,"Orl@Bos 07:30PM ET",8.833
"PF","Dwight Powell",3000,"Orl@Bos 07:30PM ET",3.417
"PG","Kendall Marshall",3000,"Mil@Por 10:00PM ET",10.208
"SF","Reggie Bullock",3000,"Ind@LAC 10:30PM ET",5.896
"PF","Jae Crowder",3000,"Dal@Det 07:30PM ET",7.455
"PG","Shabazz Napier",3000,"Uta@Mia 07:30PM ET",13.386
"SG","Markel Brown",3000,"Bkn@Tor 08:00PM ET",4.625
"SF","Joe Ingles",3000,"Uta@Mia 07:30PM ET",8.920
"SG","Devyn Marble",3000,"Orl@Bos 07:30PM ET",1.313
"PF","Adreian Payne",3000,"Atl@Cle 07:00PM ET",0
"SG","Zoran Dragic",3000,"Pho@Cha 07:00PM ET",0.000
"C","Bismack Biyombo",3000,"Pho@Cha 07:00PM ET",13.911
"SG","James Ennis",3000,"Uta@Mia 07:30PM ET",9.466
"PG","Spencer Dinwiddie",3000,"Dal@Det 07:30PM ET",8.792
"SG","Nick Johnson",3000,"Hou@Den 10:30PM ET",6.200
"PF","Johnny O'Bryant",3000,"Mil@Por 10:00PM ET",0
"SF","Rodney Hood",3000,"Uta@Mia 07:30PM ET",10.604
"SF","Tony Mitchell",3000,"Dal@Det 07:30PM ET",0
"C","Dewayne Dedmon",3000,"Orl@Bos 07:30PM ET",11.313
"SG","P.J. Hairston",3000,"Pho@Cha 07:00PM ET",11.269
"SF","Maurice Harkless",3000,"Orl@Bos 07:30PM ET",10.288
"PF","Jarnell Stokes",3000,"Mem@SA 08:30PM ET",4.688
"C","Lucas Nogueira",3000,"Bkn@Tor 08:00PM ET",9.250
"SF","T.J. Warren",3000,"Pho@Cha 07:00PM ET",6.281
"SG","Sergey Karasev",3000,"Bkn@Tor 08:00PM ET",5.469
"SG","Jordan Adams",3000,"Mem@SA 08:30PM ET",6.188
"SF","Kyle Anderson",3000,"Mem@SA 08:30PM ET",8.091
"SG","Archie Goodwin",3000,"Pho@Cha 07:00PM ET",5.100
"SG","Gary Harris",3000,"Hou@Den 10:30PM ET",9.375
"SG","Ricky Ledo",3000,"Dal@Det 07:30PM ET",0
"PG","Dennis Schroder",3000,"Atl@Cle 07:00PM ET",17.350
"C","Vitor Faverani",3000,"Orl@Bos 07:30PM ET",0
"C","Pero Antic",3000,"Atl@Cle 07:00PM ET",10.868
"PG","Tyler Ennis",3000,"Pho@Cha 07:00PM ET",5.700
"PF","Noah Vonleh",3000,"Pho@Cha 07:00PM ET",6.833
"SG","James Young",3000,"Orl@Bos 07:30PM ET",3.500
"C","Jusuf Nurkic",3000,"Hou@Den 10:30PM ET",9.425
"SF","Bruno Caboclo",3000,"Bkn@Tor 08:00PM ET",11.750
"PF","Clint Capela",3000,"Hou@Den 10:30PM ET",2.875
"SF","Damien Inglis",3000,"Mil@Por 10:00PM ET",0
"PF","Damjan Rudez",3000,"Ind@LAC 10:30PM ET",7.619
