"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Blake Bortles",6000,"Ind@Jax 01:00PM ET",21.947,"Jax"
"WR","Emmanuel Sanders",5900,"Oak@Den 04:05PM ET",15.055,"Den"
"WR","Michael Crabtree",5900,"Oak@Den 04:05PM ET",16.083,"Oak"
"WR","T.Y. Hilton",5900,"Ind@Jax 01:00PM ET",14.375,"Ind"
"QB","Peyton Manning",5800,"Oak@Den 04:05PM ET",12.422,"Den"
"RB","Jonathan Stewart",5800,"Atl@Car 01:00PM ET",12.908,"Car"
"QB","Matthew Stafford",5800,"Det@StL 01:00PM ET",18.863,"Det"
"RB","Thomas Rawls",5800,"Sea@Bal 01:00PM ET",11.350,"Sea"
"RB","Lamar Miller",5700,"NYG@Mia 08:30PM ET",15.967,"Mia"
"WR","Martavis Bryant",5700,"Pit@Cin 01:00PM ET",20.929,"Pit"
"QB","Marcus Mariota",5700,"Ten@NYJ 01:00PM ET",21.238,"Ten"
"TE","Delanie Walker",5600,"Ten@NYJ 01:00PM ET",16.000,"Ten"
"QB","Tony Romo",5600,"Dal@GB 04:25PM ET",12.915,"Dal"
"QB","Derek Carr",5600,"Oak@Den 04:05PM ET",20.243,"Oak"
"TE","Tyler Eifert",5600,"Pit@Cin 01:00PM ET",15.745,"Cin"
"WR","Jeremy Maclin",5500,"SD@KC 01:00PM ET",17.318,"KC"
"WR","Allen Hurns",5500,"Ind@Jax 01:00PM ET",15.800,"Jax"
"WR","Jordan Matthews",5500,"Buf@Phi 01:00PM ET",13.008,"Phi"
"QB","Jameis Winston",5500,"NO@TB 01:00PM ET",18.257,"TB"
"QB","Ryan Fitzpatrick",5400,"Ten@NYJ 01:00PM ET",18.878,"NYJ"
"QB","Tyrod Taylor",5400,"Buf@Phi 01:00PM ET",20.104,"Buf"
"RB","Javorius Allen",5300,"Sea@Bal 01:00PM ET",8.742,"Bal"
"QB","Matt Hasselbeck",5200,"Ind@Jax 01:00PM ET",15.616,"Ind"
"WR","Danny Amendola",5200,"NE@Hou 08:30PM ET",12.795,"NE"
"QB","Brian Hoyer",5200,"NE@Hou 08:30PM ET",17.842,"Hou"
"QB","Ryan Tannehill",5200,"NYG@Mia 08:30PM ET",17.982,"Mia"
"QB","Brock Osweiler",5200,"Oak@Den 04:05PM ET",10.596,"Den"
"QB","Matt Cassel",5100,"Dal@GB 04:25PM ET",9.886,"Dal"
"QB","Jay Cutler",5100,"Was@Chi 01:00PM ET",16.798,"Chi"
"QB","Alex Smith",5100,"SD@KC 01:00PM ET",18.193,"KC"
"QB","Matt Schaub",5100,"Sea@Bal 01:00PM ET",16.800,"Bal"
"QB","Sam Bradford",5100,"Buf@Phi 01:00PM ET",14.668,"Phi"
"QB","Austin Davis",5100,"SF@Cle 01:00PM ET",7.690,"Cle"
"QB","Kirk Cousins",5100,"Was@Chi 01:00PM ET",17.503,"Was"
"QB","Blaine Gabbert",5100,"SF@Cle 01:00PM ET",19.630,"SF"
"TE","Jordan Reed",5100,"Was@Chi 01:00PM ET",14.940,"Was"
"RB","Charcandrick West",5100,"SD@KC 01:00PM ET",9.418,"KC"
"QB","Mike Vick",5000,"Pit@Cin 01:00PM ET",6.348,"Pit"
"QB","Charlie Whitehurst",5000,"Ind@Jax 01:00PM ET",1.020,"Ind"
"QB","Tarvaris Jackson",5000,"Sea@Bal 01:00PM ET",-0.200,"Sea"
"QB","Derek Anderson",5000,"Atl@Car 01:00PM ET",0.200,"Car"
"QB","Dan Orlovsky",5000,"Det@StL 01:00PM ET",3.680,"Det"
